# WASA-at-COSY CD Field Map
#
# transcription from WMC cd_field_rect.dat
#
# 090205 CFR
#
#
#  R(cm)          Z(cm)           Fr(kGs)        Fz(kGs)
6.50E+001       1.00E+001       3.05E-001       -1.81E+000
7.00E+001       1.00E+001       1.78E-001       -5.30E+000
7.50E+001       1.00E+001       4.79E-002       -3.49E+000
8.00E+001       1.00E+001       -3.61E-004      -9.91E-004
8.50E+001       1.00E+001       -3.76E-004      -6.82E-004
9.00E+001       1.00E+001       -3.78E-004      -4.09E-004
9.50E+001       1.00E+001       -3.71E-004      -1.62E-004
                        
0.00E+000       1.50E+001       0.00E+000       1.12E+001
5.00E+000       1.50E+001       9.32E-001       1.14E+001
1.00E+001       1.50E+001       1.65E+000       1.19E+001
1.50E+001       1.50E+001       2.03E+000       1.21E+001
2.00E+001       1.50E+001       3.54E+000       1.43E+001
2.50E+001       1.50E+001       4.11E+000       5.32E+000
3.00E+001       1.50E+001       4.13E+000       -4.74E+000
3.50E+001       1.50E+001       2.44E+000       -1.89E+000
4.00E+001       1.50E+001       1.65E+000       -1.09E+000
4.50E+001       1.50E+001       1.16E+000       -6.65E-001
5.00E+001       1.50E+001       8.40E-001       -4.02E-001
5.50E+001       1.50E+001       6.36E-001       -2.23E-001
6.00E+001       1.50E+001       5.56E-001       -1.48E-001
6.50E+001       1.50E+001       4.07E-001       -2.60E+000
7.00E+001       1.50E+001       2.37E-001       -5.10E+000
7.50E+001       1.50E+001       6.04E-002       -2.52E+000
8.00E+001       1.50E+001       -6.64E-005      -8.90E-004
8.50E+001       1.50E+001       -1.12E-004      -6.01E-004
9.00E+001       1.50E+001       -1.39E-004      -3.46E-004
9.50E+001       1.50E+001       -1.50E-004      -1.14E-004
                        
0.00E+000       2.00E+001       0.00E+000       9.87E+000
5.00E+000       2.00E+001       1.01E+000       9.95E+000
1.00E+001       2.00E+001       1.91E+000       1.01E+001
1.50E+001       2.00E+001       2.60E+000       1.03E+001
2.00E+001       2.00E+001       5.17E+000       1.11E+001
2.50E+001       2.00E+001       7.68E+000       6.92E+000
3.00E+001       2.00E+001       8.61E+000       -2.73E+000
3.50E+001       2.00E+001       3.60E+000       -9.60E-001
4.00E+001       2.00E+001       2.22E+000       -5.88E-001
4.50E+001       2.00E+001       1.49E+000       -3.71E-001
5.00E+001       2.00E+001       1.06E+000       -2.25E-001
5.50E+001       2.00E+001       7.90E-001       -1.17E-001
6.00E+001       2.00E+001       6.61E-001       -5.71E-002
6.50E+001       2.00E+001       5.65E-001       -1.66E+000
7.00E+001       2.00E+001       5.13E-001       -4.89E+000
7.50E+001       2.00E+001       1.72E-001       -3.10E+000
8.00E+001       2.00E+001       2.31E-004       -8.58E-004
8.50E+001       2.00E+001       1.44E-004       -5.94E-004
9.00E+001       2.00E+001       8.96E-005       -3.55E-004
9.50E+001       2.00E+001       6.08E-005       -1.39E-004
                        
0.00E+000       2.50E+001       0.00E+000       8.36E+000
5.00E+000       2.50E+001       1.05E+000       8.33E+000
1.00E+001       2.50E+001       1.96E+000       8.26E+000
1.50E+001       2.50E+001       2.64E+000       8.17E+000
2.00E+001       2.50E+001       4.64E+000       7.26E+000
2.50E+001       2.50E+001       5.97E+000       5.01E+000
3.00E+001       2.50E+001       6.12E+000       2.48E+000
3.50E+001       2.50E+001       3.48E+000       4.33E-001
4.00E+001       2.50E+001       2.27E+000       1.00E-001
4.50E+001       2.50E+001       1.56E+000       2.06E-002
5.00E+001       2.50E+001       1.12E+000       1.17E-002
5.50E+001       2.50E+001       8.48E-001       2.65E-002
6.00E+001       2.50E+001       7.17E-001       4.15E-002
6.50E+001       2.50E+001       7.17E-001       -1.47E+000
7.00E+001       2.50E+001       8.51E-001       -4.52E+000
7.50E+001       2.50E+001       4.33E-001       -2.94E+000
8.00E+001       2.50E+001       4.73E-004       -7.65E-004
8.50E+001       2.50E+001       3.68E-004       -5.28E-004
9.00E+001       2.50E+001       2.92E-004       -3.14E-004
9.50E+001       2.50E+001       2.47E-004       -1.24E-004
                        
0.00E+000       3.00E+001       0.00E+000       6.87E+000
5.00E+000       3.00E+001       1.08E+000       6.76E+000
1.00E+001       3.00E+001       1.85E+000       6.51E+000
1.50E+001       3.00E+001       2.25E+000       6.34E+000
2.00E+001       3.00E+001       3.45E+000       5.01E+000
2.50E+001       3.00E+001       3.78E+000       3.53E+000
3.00E+001       3.00E+001       3.76E+000       2.68E+000
3.50E+001       3.00E+001       2.60E+000       1.05E+000
4.00E+001       3.00E+001       1.89E+000       5.66E-001
4.50E+001       3.00E+001       1.38E+000       3.33E-001
5.00E+001       3.00E+001       1.03E+000       2.15E-001
5.50E+001       3.00E+001       8.02E-001       1.50E-001
6.00E+001       3.00E+001       7.13E-001       1.26E-001
6.50E+001       3.00E+001       3.16E-001       -2.85E+000
7.00E+001       3.00E+001       8.41E-001       -4.26E+000
7.50E+001       3.00E+001       3.41E-001       -2.13E+000
8.00E+001       3.00E+001       6.80E-004       -6.27E-004
8.50E+001       3.00E+001       5.47E-004       -4.20E-004
9.00E+001       3.00E+001       4.57E-004       -2.37E-004
9.50E+001       3.00E+001       4.02E-004       -7.50E-005
                        
0.00E+000       3.50E+001       0.00E+000       5.57E+000
5.00E+000       3.50E+001       7.96E-001       5.47E+000
1.00E+001       3.50E+001       1.38E+000       5.22E+000
1.50E+001       3.50E+001       1.76E+000       4.98E+000
2.00E+001       3.50E+001       2.35E+000       4.09E+000
2.50E+001       3.50E+001       2.53E+000       3.17E+000
3.00E+001       3.50E+001       2.50E+000       2.50E+000
3.50E+001       3.50E+001       2.02E+000       1.44E+000
4.00E+001       3.50E+001       1.59E+000       9.18E-001
4.50E+001       3.50E+001       1.23E+000       5.97E-001
5.00E+001       3.50E+001       9.50E-001       4.00E-001
5.50E+001       3.50E+001       7.46E-001       2.69E-001
6.00E+001       3.50E+001       6.40E-001       1.97E-001
6.50E+001       3.50E+001       1.19E+000       -4.07E+000
7.00E+001       3.50E+001       8.94E-001       -3.96E+000
7.50E+001       3.50E+001       3.86E-001       -2.63E+000
8.00E+001       3.50E+001       9.11E-004       -5.27E-004
8.50E+001       3.50E+001       7.31E-004       -3.56E-004
9.00E+001       3.50E+001       6.10E-004       -2.09E-004
9.50E+001       3.50E+001       5.37E-004       -7.93E-005
                        
0.00E+000       4.00E+001       0.00E+000       4.48E+000
5.00E+000       4.00E+001       6.46E-001       4.40E+000
1.00E+001       4.00E+001       1.08E+000       4.21E+000
1.50E+001       4.00E+001       1.35E+000       4.03E+000
2.00E+001       4.00E+001       1.66E+000       3.40E+000
2.50E+001       4.00E+001       1.72E+000       2.77E+000
3.00E+001       4.00E+001       1.69E+000       2.32E+000
3.50E+001       4.00E+001       1.44E+000       1.52E+000
4.00E+001       4.00E+001       1.20E+000       1.06E+000
4.50E+001       4.00E+001       9.70E-001       7.43E-001
5.00E+001       4.00E+001       7.79E-001       5.23E-001
5.50E+001       4.00E+001       6.18E-001       3.70E-001
6.00E+001       4.00E+001       5.21E-001       2.85E-001
6.50E+001       4.00E+001       1.91E+000       -3.81E+000
7.00E+001       4.00E+001       8.48E-001       -2.32E+000
7.50E+001       4.00E+001       1.42E-003       -5.09E-004
8.00E+001       4.00E+001       1.07E-003       -3.46E-004
8.50E+001       4.00E+001       8.52E-004       -2.41E-004
9.00E+001       4.00E+001       7.16E-004       -1.45E-004
9.50E+001       4.00E+001       6.34E-004       -5.63E-005
                        
0.00E+000       4.50E+001       0.00E+000       3.57E+000
5.00E+000       4.50E+001       5.50E-001       3.53E+000
1.00E+001       4.50E+001       9.00E-001       3.45E+000
1.50E+001       4.50E+001       1.09E+000       3.37E+000
2.00E+001       4.50E+001       1.19E+000       3.00E+000
2.50E+001       4.50E+001       1.15E+000       2.54E+000
3.00E+001       4.50E+001       1.10E+000       2.19E+000
3.50E+001       4.50E+001       9.52E-001       1.52E+000
4.00E+001       4.50E+001       8.28E-001       1.12E+000
4.50E+001       4.50E+001       7.05E-001       8.14E-001
5.00E+001       4.50E+001       6.00E-001       5.93E-001
5.50E+001       4.50E+001       1.48E+000       -5.56E-001
6.00E+001       4.50E+001       3.36E+000       -2.64E+000
6.50E+001       4.50E+001       2.16E+000       -3.03E+000
7.00E+001       4.50E+001       1.09E+000       -1.95E+000
7.50E+001       4.50E+001       1.40E-003       -1.06E-004
8.00E+001       4.50E+001       1.12E-003       -1.48E-004
8.50E+001       4.50E+001       9.13E-004       -1.22E-004
9.00E+001       4.50E+001       7.78E-004       -7.80E-005
9.50E+001       4.50E+001       6.95E-004       -3.13E-005
                        
0.00E+000       5.00E+001       0.00E+000       2.76E+000
5.00E+000       5.00E+001       5.22E-001       2.75E+000
1.00E+001       5.00E+001       8.81E-001       2.78E+000
1.50E+001       5.00E+001       1.08E+000       2.85E+000
2.00E+001       5.00E+001       8.85E-001       2.88E+000
2.50E+001       5.00E+001       6.53E-001       2.47E+000
3.00E+001       5.00E+001       5.79E-001       2.13E+000
3.50E+001       5.00E+001       5.15E-001       1.50E+000
4.00E+001       5.00E+001       4.87E-001       1.12E+000
4.50E+001       5.00E+001       4.40E-001       8.32E-001
5.00E+001       5.00E+001       1.36E+000       -3.51E-001
5.50E+001       5.00E+001       3.18E+000       -2.38E+000
6.00E+001       5.00E+001       2.94E+000       -2.43E+000
6.50E+001       5.00E+001       1.98E+000       -2.04E+000
7.00E+001       5.00E+001       6.80E-001       -7.19E-001
7.50E+001       5.00E+001       1.33E-003       8.31E-005
8.00E+001       5.00E+001       1.09E-003       9.33E-006
8.50E+001       5.00E+001       9.20E-004       -1.79E-005
9.00E+001       5.00E+001       7.98E-004       -1.80E-005
9.50E+001       5.00E+001       7.20E-004       -8.23E-006
                        
0.00E+000       5.50E+001       0.00E+000       1.99E+000
5.00E+000       5.50E+001       5.12E-001       1.96E+000
1.00E+001       5.50E+001       1.01E+000       1.93E+000
1.50E+001       5.50E+001       1.44E+000       1.95E+000
2.00E+001       5.50E+001       1.31E+000       3.13E+000
2.50E+001       5.50E+001       1.02E+000       2.37E+000
3.00E+001       5.50E+001       1.26E+000       2.24E+000
3.50E+001       5.50E+001       8.66E-001       1.23E+000
4.00E+001       5.50E+001       1.94E+000       4.63E-001
4.50E+001       5.50E+001       3.89E+000       -4.07E-001
5.00E+001       5.50E+001       3.62E+000       -1.15E+000
5.50E+001       5.50E+001       3.09E+000       -1.98E+000
6.00E+001       5.50E+001       2.76E+000       -2.26E+000
6.50E+001       5.50E+001       5.69E-001       -5.25E-001
7.00E+001       5.50E+001       1.40E-003       3.59E-004
7.50E+001       5.50E+001       1.22E-003       2.25E-004
8.00E+001       5.50E+001       1.03E-003       1.28E-004
8.50E+001       5.50E+001       8.89E-004       6.51E-005
9.00E+001       5.50E+001       7.83E-004       3.10E-005
9.50E+001       5.50E+001       7.13E-004       9.57E-006
                        
0.00E+000       6.00E+001       0.00E+000       1.30E+000
5.00E+000       6.00E+001       4.71E-001       1.20E+000
1.00E+001       6.00E+001       8.23E-001       9.21E-001
1.50E+001       6.00E+001       1.01E+000       7.20E-001
2.00E+001       6.00E+001       2.15E+000       1.31E+000
2.50E+001       6.00E+001       3.22E+000       1.77E+000
3.00E+001       6.00E+001       3.38E+000       1.38E+000
3.50E+001       6.00E+001       3.67E+000       6.37E-001
4.00E+001       6.00E+001       3.56E+000       4.65E-002
4.50E+001       6.00E+001       3.24E+000       -5.57E-001
5.00E+001       6.00E+001       2.79E+000       -1.19E+000
5.50E+001       6.00E+001       1.74E+000       -1.11E+000
6.00E+001       6.00E+001       9.66E-001       -6.86E-001
6.50E+001       6.00E+001       2.29E-003       -2.23E-004
7.00E+001       6.00E+001       1.24E-003       4.26E-004
7.50E+001       6.00E+001       1.08E-003       3.04E-004
8.00E+001       6.00E+001       9.36E-004       2.00E-004
8.50E+001       6.00E+001       8.19E-004       1.20E-004
9.00E+001       6.00E+001       7.31E-004       6.33E-005
9.50E+001       6.00E+001       6.72E-004       1.85E-005
                        
0.00E+000       6.50E+001       0.00E+000       7.94E-001
5.00E+000       6.50E+001       2.71E-001       7.12E-001
1.00E+001       6.50E+001       4.37E-001       5.17E-001
1.50E+001       6.50E+001       5.14E-001       3.30E-001
2.00E+001       6.50E+001       1.02E+000       1.88E-001
2.50E+001       6.50E+001       2.45E+000       5.30E-001
3.00E+001       6.50E+001       3.00E+000       4.13E-001
3.50E+001       6.50E+001       3.33E+000       1.96E-001
4.00E+001       6.50E+001       3.20E+000       -1.93E-002
4.50E+001       6.50E+001       2.86E+000       -3.91E-001
5.00E+001       6.50E+001       1.87E+000       -4.97E-001
5.50E+001       6.50E+001       1.76E-001       -2.77E-002
6.00E+001       6.50E+001       1.76E-003       1.02E-003
6.50E+001       6.50E+001       1.29E-003       7.02E-004
7.00E+001       6.50E+001       1.12E-003       5.34E-004
7.50E+001       6.50E+001       9.84E-004       3.96E-004
8.00E+001       6.50E+001       8.66E-004       2.80E-004
8.50E+001       6.50E+001       7.64E-004       1.85E-004
9.00E+001       6.50E+001       6.85E-004       1.06E-004
9.50E+001       6.50E+001       6.28E-004       3.82E-005
                        
0.00E+000       7.00E+001       0.00E+000       4.64E-001
5.00E+000       7.00E+001       1.58E-001       4.08E-001
1.00E+001       7.00E+001       2.41E-001       2.89E-001
1.50E+001       7.00E+001       2.71E-001       1.86E-001
2.00E+001       7.00E+001       1.58E-001       -2.65E-002
2.50E+001       7.00E+001       2.61E-003       -8.68E-002
3.00E+001       7.00E+001       1.13E-003       -2.81E-005
3.50E+001       7.00E+001       1.09E-003       7.27E-004
4.00E+001       7.00E+001       1.03E-003       1.12E-003
4.50E+001       7.00E+001       1.06E-003       1.38E-003
5.00E+001       7.00E+001       1.17E-003       1.41E-003
5.50E+001       7.00E+001       1.24E-003       1.26E-003
6.00E+001       7.00E+001       1.25E-003       1.08E-003
6.50E+001       7.00E+001       1.09E-003       7.71E-004
7.00E+001       7.00E+001       9.61E-004       5.95E-004
7.50E+001       7.00E+001       8.53E-004       4.49E-004
8.00E+001       7.00E+001       7.60E-004       3.29E-004
8.50E+001       7.00E+001       6.78E-004       2.24E-004
9.00E+001       7.00E+001       6.13E-004       1.33E-004
9.50E+001       7.00E+001       5.64E-004       5.05E-005
                        
0.00E+000       7.50E+001       0.00E+000       2.71E-001
5.00E+000       7.50E+001       8.91E-002       2.37E-001
1.00E+001       7.50E+001       1.33E-001       1.70E-001
1.50E+001       7.50E+001       1.47E-001       1.15E-001
2.00E+001       7.50E+001       4.71E-002       -1.66E-001
2.50E+001       7.50E+001       -8.04E-002      -3.74E-001
3.00E+001       7.50E+001       1.69E-003       -4.96E-004
3.50E+001       7.50E+001       1.54E-003       6.77E-004
4.00E+001       7.50E+001       1.33E-003       1.08E-003
4.50E+001       7.50E+001       1.19E-003       1.27E-003
5.00E+001       7.50E+001       1.12E-003       1.28E-003
5.50E+001       7.50E+001       1.06E-003       1.17E-003
6.00E+001       7.50E+001       1.02E-003       1.06E-003
6.50E+001       7.50E+001       8.94E-004       8.11E-004
7.00E+001       7.50E+001       7.97E-004       6.37E-004
7.50E+001       7.50E+001       7.14E-004       4.85E-004
8.00E+001       7.50E+001       6.45E-004       3.63E-004
8.50E+001       7.50E+001       5.84E-004       2.55E-004
9.00E+001       7.50E+001       5.29E-004       1.55E-004
9.50E+001       7.50E+001       4.88E-004       5.93E-005
                        
0.00E+000       8.00E+001       0.00E+000       1.62E-001
5.00E+000       8.00E+001       4.94E-002       1.43E-001
1.00E+001       8.00E+001       7.34E-002       1.05E-001
1.50E+001       8.00E+001       8.17E-002       7.49E-002
2.00E+001       8.00E+001       6.80E-002       1.69E-002
2.50E+001       8.00E+001       3.69E-002       -4.70E-003
3.00E+001       8.00E+001       2.67E-003       -3.58E-004
3.50E+001       8.00E+001       2.10E-003       7.68E-004
4.00E+001       8.00E+001       1.62E-003       1.20E-003
4.50E+001       8.00E+001       1.27E-003       1.33E-003
5.00E+001       8.00E+001       1.05E-003       1.29E-003
5.50E+001       8.00E+001       9.08E-004       1.17E-003
6.00E+001       8.00E+001       8.38E-004       1.06E-003
6.50E+001       8.00E+001       7.17E-004       8.37E-004
7.00E+001       8.00E+001       6.42E-004       6.66E-004
7.50E+001       8.00E+001       5.76E-004       5.11E-004
8.00E+001       8.00E+001       5.20E-004       3.84E-004
8.50E+001       8.00E+001       4.74E-004       2.75E-004
9.00E+001       8.00E+001       4.35E-004       1.72E-004
9.50E+001       8.00E+001       4.01E-004       6.69E-005
                        
0.00E+000       8.50E+001       0.00E+000       1.01E-001
5.00E+000       8.50E+001       2.70E-002       9.04E-002
1.00E+001       8.50E+001       4.02E-002       6.93E-002
1.50E+001       8.50E+001       4.50E-002       5.21E-002
2.00E+001       8.50E+001       3.83E-002       1.80E-002
2.50E+001       8.50E+001       2.21E-002       1.83E-003
3.00E+001       8.50E+001       4.13E-003       -7.98E-004
3.50E+001       8.50E+001       2.79E-003       1.22E-003
4.00E+001       8.50E+001       1.80E-003       1.58E-003
4.50E+001       8.50E+001       1.23E-003       1.56E-003
5.00E+001       8.50E+001       9.17E-004       1.41E-003
5.50E+001       8.50E+001       7.40E-004       1.22E-003
6.00E+001       8.50E+001       6.57E-004       1.10E-003
6.50E+001       8.50E+001       5.49E-004       8.63E-004
7.00E+001       8.50E+001       4.89E-004       6.88E-004
7.50E+001       8.50E+001       4.39E-004       5.34E-004
8.00E+001       8.50E+001       3.94E-004       4.02E-004
8.50E+001       8.50E+001       3.59E-004       2.87E-004
9.00E+001       8.50E+001       3.32E-004       1.81E-004
9.50E+001       8.50E+001       3.07E-004       7.40E-005
                        
0.00E+000       9.00E+001       0.00E+000       6.88E-002
5.00E+000       9.00E+001       1.41E-002       6.24E-002
1.00E+001       9.00E+001       2.11E-002       4.98E-002
1.50E+001       9.00E+001       2.36E-002       3.94E-002
2.00E+001       9.00E+001       2.00E-002       1.86E-002
2.50E+001       9.00E+001       1.38E-002       9.58E-003
3.00E+001       9.00E+001       9.79E-003       9.92E-003
3.50E+001       9.00E+001       3.14E-003       2.67E-003
4.00E+001       9.00E+001       1.66E-003       2.24E-003
4.50E+001       9.00E+001       1.02E-003       1.87E-003
5.00E+001       9.00E+001       7.00E-004       1.56E-003
5.50E+001       9.00E+001       5.30E-004       1.31E-003
6.00E+001       9.00E+001       4.57E-004       1.15E-003
6.50E+001       9.00E+001       3.76E-004       8.87E-004
7.00E+001       9.00E+001       3.32E-004       7.09E-004
7.50E+001       9.00E+001       2.95E-004       5.51E-004
8.00E+001       9.00E+001       2.66E-004       4.14E-004
8.50E+001       9.00E+001       2.43E-004       2.96E-004
9.00E+001       9.00E+001       2.22E-004       1.90E-004
9.50E+001       9.00E+001       2.04E-004       8.06E-005
                        
0.00E+000       9.50E+001       0.00E+000       5.29E-002
5.00E+000       9.50E+001       6.05E-003       4.86E-002
1.00E+001       9.50E+001       9.02E-003       4.01E-002
1.50E+001       9.50E+001       1.01E-002       3.32E-002
2.00E+001       9.50E+001       8.64E-003       1.90E-002
2.50E+001       9.50E+001       5.96E-003       1.11E-002
3.00E+001       9.50E+001       4.00E-003       7.51E-003
3.50E+001       9.50E+001       1.87E-003       4.13E-003
4.00E+001       9.50E+001       9.95E-004       2.87E-003
4.50E+001       9.50E+001       5.77E-004       2.16E-003
5.00E+001       9.50E+001       3.78E-004       1.70E-003
5.50E+001       9.50E+001       2.77E-004       1.37E-003
6.00E+001       9.50E+001       2.35E-004       1.19E-003
6.50E+001       9.50E+001       1.91E-004       9.04E-004
7.00E+001       9.50E+001       1.68E-004       7.21E-004
7.50E+001       9.50E+001       1.49E-004       5.63E-004
8.00E+001       9.50E+001       1.33E-004       4.20E-004
8.50E+001       9.50E+001       1.22E-004       3.01E-004
9.00E+001       9.50E+001       1.12E-004       1.94E-004
9.50E+001       9.50E+001       1.04E-004       8.10E-005
                        
0.00E+000       1.00E+002       0.00E+000       4.81E-002
5.00E+000       1.00E+002       -1.28E-006      4.45E-002
1.00E+001       1.00E+002       2.87E-005       3.72E-002
1.50E+001       1.00E+002       1.14E-004       3.13E-002
2.00E+001       1.00E+002       1.13E-004       1.91E-002
2.50E+001       1.00E+002       8.30E-005       1.19E-002
3.00E+001       1.00E+002       7.52E-005       8.29E-003
3.50E+001       1.00E+002       6.37E-005       4.59E-003
4.00E+001       1.00E+002       4.19E-005       3.11E-003
4.50E+001       1.00E+002       2.57E-005       2.27E-003
5.00E+001       1.00E+002       -3.99E-007      1.75E-003
5.50E+001       1.00E+002       -2.72E-006      1.40E-003
6.00E+001       1.00E+002       -7.55E-006      1.20E-003
6.50E+001       1.00E+002       -1.45E-006      9.11E-004
7.00E+001       1.00E+002       -8.13E-007      7.26E-004
7.50E+001       1.00E+002       -1.33E-006      5.67E-004
8.00E+001       1.00E+002       -4.14E-006      4.23E-004
8.50E+001       1.00E+002       1.37E-005       3.02E-004
9.00E+001       1.00E+002       4.70E-006       1.94E-004
9.50E+001       1.00E+002       1.04E-005       8.33E-005
